radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,54,0,0,0,0,13,10961,41,3322,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.224202,0.386487,0.0261786,9206,0,0,0,0,4085
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.277036,0.468142,0.0373435,10939,0,0,0,0,4567
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,21,0,0,0,0,15,402,6,53,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,18,0.337119,0.518977,0.0577188,10170,13,3219,5,452,3801
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,65,0,0,0,0,14,6876,51,1735,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,58,0.396643,0.572949,0.0580186,16443,13,9655,45,2499,5473
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.347669,0.540383,0.0384285,10487,0,0,0,0,4003
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.249245,0.42835,0.0331918,12247,0,0,0,0,5321
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.193148,0.331058,0.0267427,15967,0,0,0,0,7142
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.252378,0.43628,0.0357622,16400,0,0,0,0,6952
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,41,0,0,0,0,12,5241,29,1046,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,20,0.212787,0.355177,0.0130759,6577,0,0,0,0,3002
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,31,0,0,0,0,13,942,18,150,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.281568,0.471471,0.0372302,15055,0,0,0,0,6257
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.219643,0.384283,0.0268035,15054,0,0,0,0,6800
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.217012,0.376803,0.020416,14278,0,0,0,0,6424
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.29954,0.490502,0.031727,15003,0,0,0,0,6246
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.18374,0.334639,0.00172851,8678,0,0,0,0,4189
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.210765,0.375765,0.0223789,13897,0,0,0,0,6360
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.290268,0.47372,0.0561772,8847,0,0,0,0,3431
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.206469,0.372113,0.0202978,13031,0,0,0,0,5860
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.309874,0.500275,0.0369747,14564,0,0,0,0,5902
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,18,0.308292,0.469664,0.0485606,17751,12,4478,6,779,6763
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,36,0,0,0,0,14,1186,22,192,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,30,0,0,0,0,13,2346,17,383,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,46,0.172088,0.307422,0.0144304,12543,14,7474,32,1608,5883
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,73,0,0,0,0,18,5406,55,1256,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,54,0.49161,0.699175,0.0751577,25686,13,22930,41,7604,7263
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,56,0,0,0,0,14,10647,42,3050,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,70,0,0,0,0,14,4749,56,916,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,75,0,0,0,0,15,3463,60,729,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,26,0,0,0,0,13,1492,13,217,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,57,0,0,0,0,17,4970,40,1061,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,95,0,0,0,0,14,4918,81,976,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,31,0,0,0,0,14,2769,17,470,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,89,0,0,0,0,14,4065,75,1035,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,118,0,0,0,0,13,13460,105,4722,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,56,0,0,0,0,13,3638,43,793,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,25,0,0,0,0,14,1228,11,197,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,55,0,0,0,0,13,9285,42,2327,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,147,0,0,0,0,13,6303,134,1561,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,27,0,0,0,0,13,1685,14,243,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,21,0,0,0,0,14,273,7,50,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,27,0,0,0,0,14,1581,13,223,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,107,0,0,0,0,13,6634,94,1884,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,63,0,0,0,0,13,6388,50,1775,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,54,0,0,0,0,14,6068,40,1480,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,32,0,0,0,0,12,11334,20,2963,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,37,0,0,0,0,14,1271,23,230,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,18,0.237894,0.402445,0.0281437,10553,0,0,0,0,4595
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,101,0,0,0,0,13,7730,88,1779,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,29,0,0,0,0,14,1418,15,189,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,42,0,0,0,0,13,3888,29,892,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,69,0,0,0,0,12,5357,57,982,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.249544,0.432943,0.0323568,7680,0,0,0,0,3368
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,36,0,0,0,0,16,989,20,136,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,0,0,1,0,18,0.406281,0.612362,0.0588548,16923,12,4066,6,654,5850
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,66,0,0,0,0,13,6028,53,1469,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,142,0,0,0,0,13,5069,129,1132,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,103,0,0,0,0,13,4493,90,973,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,139,0,0,0,0,13,7962,126,2013,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,32,0,0,0,0,12,4637,20,775,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,42,0,0,0,0,13,1504,29,246,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,71,0,0,0,0,12,5712,59,1146,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.158877,0.269481,0.0212244,13051,0,0,0,0,5956
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,123,0,0,0,0,14,6544,109,1574,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.219946,0.390768,0.0158603,8102,0,0,0,0,3733
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,70,0,0,0,0,13,6298,57,1666,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,20,0.162138,0.295568,0.0013343,12366,0,0,0,0,6031
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,61,0,0,0,0,13,6512,48,1486,0
0.2,0.1,0.05,1.0e-05,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,58,0,0,0,0,14,3253,44,581,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,171,0,0,0,0,14,6748,157,1557,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,119,0,0,0,0,13,12099,106,3660,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,36,0,0,0,0,13,3100,23,640,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,103,0,0,0,0,13,8187,90,2029,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,42,0,0,0,0,15,1932,27,324,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,37,0,0,0,0,15,1110,22,161,0
0.2,0.1,0.05,1.0e-06,0.1,0.03,0.9,0.8,T,F,1,0,0,0,1,0,0,0,30,0,0,0,0,14,1493,16,213,0
