radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,17,0.337267,0.539036,0.0976987,18598,12,4064,5,541,7178
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,53,0.433673,0.656209,0.130265,19253,12,10321,41,2457,6306
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,1,0,0,0,33,0,0,0,0,13,8088,20,1518,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.311226,0.523806,0.0475738,13148,0,0,0,0,5747
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,155,0.457864,0.679338,0.117062,15889,15,7855,140,1617,5011
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,107,0.384781,0.597921,0.129968,20205,12,10104,95,2326,7159
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,17,0.340166,0.554452,0.0980976,16611,12,3537,5,469,6653
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,18,0.230299,0.391828,0.153047,20925,0,0,0,0,8832
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.313436,0.521627,0.0616677,10889,0,0,0,0,4624
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,18,0.287698,0.468005,0.0767194,11705,0,0,0,0,4809
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,67,0.373469,0.604506,0.066378,14779,13,12122,54,3403,5740
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.374061,0.609588,0.0691078,9449,0,0,0,0,3879
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.308031,0.523102,0.0706821,10908,0,0,0,0,4664
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,1,0,0,0,27,0,0,0,0,12,2468,15,386,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,18,0.215432,0.382283,0.115679,11774,0,0,0,0,5250
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,126,0.455528,0.697726,0.119201,20541,12,7906,114,1778,6718
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,17,0.305059,0.49677,0.177982,17336,12,4217,5,544,6348
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,1,0,0,0,42,0,0,0,0,14,2052,28,338,0
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,53,0.334362,0.556897,0.0554727,14746,13,28399,40,10424,6243
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,0,0,0,1,0,20,0.343979,0.551933,0.145463,13402,13,2773,7,441,4878
0.2,0.1,0.05,0.0001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.395854,0.628218,0.0774926,13169,0,0,0,0,5020
