Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,140,0.1,0.8,69,0.0,6.0,,0.03,69,0.716235 0.907231 0.0245566 733,T,733,0.525239,0.0409277,0.341064,0.716235,0.0245566,0.0,0.00818554,0.259209,0.0845839
0.8,0.2,F,0.1,141,0.1,0.8,70,0.0,6.0,,0.03,70,0.710448 0.876119 0.0276119 670,T,670,0.544776,0.0343284,0.297015,0.710448,0.0276119,0.00298507,0.0149254,0.26194,0.10597
0.8,0.2,F,0.1,167,0.1,0.8,71,0.0,6.0,,0.03,71,0.687671 0.906849 0.0431507 730,T,730,0.468493,0.0438356,0.394521,0.687671,0.0431507,0.00821918,0.0260274,0.269178,0.0589041
0.8,0.2,F,0.1,143,0.1,0.8,72,0.0,6.0,,0.03,72,0.731965 0.919154 0.0752488 804,T,804,0.544776,0.079602,0.294776,0.731965,0.0752488,0.011194,0.0485075,0.192786,0.0211443
0.8,0.2,F,0.1,112,0.1,0.8,73,0.0,6.0,,0.03,73,0.712587 0.881119 0.107692 715,T,715,0.544056,0.113287,0.223776,0.712587,0.107692,0.0195804,0.0629371,0.17972,0.0363636
0.8,0.2,F,0.1,96,0.1,0.8,74,0.0,6.0,,0.03,74,0.702322 0.868988 0.111111 603,T,603,0.535655,0.124378,0.208955,0.702322,0.111111,0.0116086,0.0746269,0.186567,0.0447761
0.8,0.2,F,0.1,99,0.1,0.8,75,0.0,6.0,,0.03,75,0.625664 0.835398 0.147788 565,T,565,0.415929,0.187611,0.231858,0.625664,0.147788,0.019469,0.0690265,0.226549,0.0761062
0.8,0.2,F,0.1,133,0.1,0.8,76,0.0,6.0,,0.03,76,0.535978 0.749077 0.125461 542,T,542,0.322878,0.188192,0.238007,0.535978,0.125461,0.00184502,0.0590406,0.338561,0.190037
0.8,0.2,F,0.1,205,0.1,0.8,77,0.0,6.0,,0.03,77,0.444751 0.610497 0.104282 724,T,724,0.279006,0.111878,0.219613,0.444751,0.104282,0.0234807,0.0497238,0.450967,0.316298
0.8,0.2,F,0.1,334,0.1,0.8,78,0.0,6.0,,0.03,78,0.34408 0.479915 0.0914376 946,T,946,0.208245,0.0570825,0.214588,0.34408,0.0914376,0.0105708,0.104651,0.564482,0.404863
0.8,0.2,F,0.1,469,0.1,0.8,79,0.0,6.0,,0.03,79,0.357708 0.512253 0.0790514 1265,T,1265,0.203162,0.0592885,0.249802,0.357708,0.0790514,0.0055336,0.087747,0.563241,0.394466
0.8,0.2,F,0.1,818,0.1,0.8,80,0.0,6.0,,0.03,80,0.295168 0.432248 0.0582983 1904,T,1904,0.158088,0.039916,0.234244,0.295168,0.0582983,0.00262605,0.0714286,0.646534,0.493697
0.8,0.2,F,0.1,1029,0.1,0.8,81,0.0,6.0,,0.03,81,0.295761 0.457033 0.0554913 2595,T,2595,0.134489,0.0466281,0.275915,0.295761,0.0554913,0.00423892,0.0558767,0.648748,0.482852
0.8,0.2,F,0.1,1408,0.1,0.8,82,0.0,6.0,,0.03,82,0.31598 0.483179 0.0551044 3448,T,3448,0.148782,0.0516241,0.282773,0.31598,0.0551044,0.00203016,0.0545244,0.628915,0.460267
0.8,0.2,F,0.1,1916,0.1,0.8,83,0.0,6.0,,0.03,83,0.305408 0.464263 0.0480382 4715,T,4715,0.146554,0.0413574,0.276352,0.305408,0.0480382,0.00254507,0.0496288,0.646554,0.483563
0.8,0.2,F,0.1,2266,0.1,0.8,84,0.0,6.0,,0.03,84,0.303822 0.461255 0.0441795 5704,T,5704,0.146388,0.0410238,0.273843,0.303822,0.0441795,0.00175316,0.0438289,0.651999,0.493163
0.8,0.2,F,0.1,2690,0.1,0.8,85,0.0,6.0,,0.03,85,0.309678 0.472607 0.0392083 6644,T,6644,0.146749,0.0395846,0.286273,0.309678,0.0392083,0.00210716,0.0346177,0.651114,0.490668
0.8,0.2,F,0.1,3080,0.1,0.8,86,0.0,6.0,,0.03,86,0.324111 0.495248 0.036063 7681,T,7681,0.152975,0.0389272,0.303346,0.324111,0.036063,0.000781148,0.0316365,0.639826,0.472334
0.8,0.2,F,0.1,3481,0.1,0.8,87,0.0,6.0,,0.03,87,0.356949 0.529425 0.028746 8836,T,8836,0.184473,0.0304436,0.314509,0.356949,0.028746,0.000905387,0.0252377,0.614305,0.444432
0.8,0.2,F,0.1,3724,0.1,0.8,88,0.0,6.0,,0.03,88,0.379926 0.557362 0.029787 9719,T,9719,0.20249,0.0379669,0.316905,0.379926,0.029787,0.000617347,0.0203725,0.590287,0.421648
0.8,0.2,F,0.1,3663,0.1,0.8,89,0.0,6.0,,0.03,89,0.404886 0.579664 0.0281479 10356,T,10356,0.230108,0.0380456,0.31151,0.404886,0.0281479,0.00125531,0.0157397,0.566966,0.403341
0.8,0.2,F,0.1,3549,0.1,0.8,90,0.0,6.0,,0.03,90,0.436873 0.609341 0.0281711 10170,T,10170,0.264405,0.040413,0.304523,0.436873,0.0281711,0.000393314,0.0151426,0.534956,0.375123
0.8,0.2,F,0.1,3567,0.1,0.8,91,0.0,6.0,,0.03,91,0.435257 0.60902 0.0230844 10310,T,10310,0.261494,0.0327837,0.314743,0.435257,0.0230844,0.000678952,0.0120272,0.541659,0.378274
0.8,0.2,F,0.1,3381,0.1,0.8,92,0.0,6.0,,0.03,92,0.451555 0.624373 0.0240221 9970,T,9970,0.278736,0.0325978,0.313039,0.451555,0.0240221,0.000300903,0.0148445,0.524423,0.360481
0.8,0.2,F,0.1,3258,0.1,0.8,93,0.0,6.0,,0.03,93,0.467006 0.638872 0.0227507 9714,T,9714,0.295141,0.031295,0.312436,0.467006,0.0227507,0.000308833,0.0135886,0.510243,0.347231
0.8,0.2,F,0.1,3279,0.1,0.8,94,0.0,6.0,,0.03,94,0.45456 0.624366 0.0250492 9661,T,9661,0.284753,0.0308457,0.308767,0.45456,0.0250492,0.0011386,0.0169755,0.520391,0.35752
0.8,0.2,F,0.1,3251,0.1,0.8,95,0.0,6.0,,0.03,95,0.458413 0.634074 0.026455 9450,T,9450,0.282751,0.0349206,0.316402,0.458413,0.026455,0.000952381,0.0160847,0.515132,0.348889
0.8,0.2,F,0.1,2999,0.1,0.8,96,0.0,6.0,,0.03,96,0.480938 0.658961 0.0259641 9128,T,9128,0.302914,0.0357143,0.320333,0.480938,0.0259641,0.000657318,0.0148992,0.493098,0.325482
0.8,0.2,F,0.1,2624,0.1,0.8,97,0.0,6.0,,0.03,97,0.514311 0.682555 0.0299231 8455,T,8455,0.346067,0.0421053,0.294382,0.514311,0.0299231,0.00153755,0.0146659,0.455766,0.301242
0.8,0.2,F,0.1,2377,0.1,0.8,98,0.0,6.0,,0.03,98,0.514191 0.7014 0.0326594 7716,T,7716,0.326983,0.0416019,0.332815,0.514191,0.0326594,0.00259202,0.0185329,0.453149,0.277475
0.8,0.2,F,0.1,2204,0.1,0.8,99,0.0,6.0,,0.03,99,0.536574 0.708648 0.0338237 7273,T,7273,0.364499,0.0384986,0.305651,0.536574,0.0338237,0.00164994,0.025849,0.429603,0.263853
0.8,0.2,F,0.1,2320,0.1,0.8,100,0.0,6.0,,0.03,100,0.486357 0.638227 0.0386427 7220,T,7220,0.334488,0.0405817,0.263158,0.486357,0.0386427,0.00235457,0.0319945,0.475,0.327424
0.8,0.2,F,0.1,2730,0.1,0.8,101,0.0,6.0,,0.03,101,0.415369 0.573988 0.0452362 7704,T,7704,0.25675,0.0366044,0.280633,0.415369,0.0452362,0.00311526,0.0476376,0.539395,0.37526
0.8,0.2,F,0.1,3061,0.1,0.8,102,0.0,6.0,,0.03,102,0.406982 0.568662 0.0519021 8622,T,8622,0.245303,0.0436094,0.279749,0.406982,0.0519021,0.00371144,0.052772,0.541116,0.374855
0.8,0.2,F,0.1,3373,0.1,0.8,103,0.0,6.0,,0.03,103,0.383736 0.5497 0.0515864 9014,T,9014,0.217772,0.0465942,0.285334,0.383736,0.0515864,0.00266252,0.0512536,0.564677,0.396383
0.8,0.2,F,0.1,3573,0.1,0.8,104,0.0,6.0,,0.03,104,0.396628 0.571751 0.0533005 9756,T,9756,0.221505,0.0477655,0.302481,0.396628,0.0533005,0.00451005,0.0498155,0.550072,0.373924
0.8,0.2,F,0.1,3465,0.1,0.8,105,0.0,6.0,,0.03,105,0.423507 0.599456 0.0506093 9929,T,9929,0.247558,0.0535804,0.298318,0.423507,0.0506093,0.00292074,0.0417968,0.525884,0.355826
0.8,0.2,F,0.1,3217,0.1,0.8,106,0.0,6.0,,0.03,106,0.443731 0.617041 0.0508852 9659,T,9659,0.270421,0.0521793,0.29444,0.443731,0.0508852,0.00383062,0.0419298,0.505384,0.337198
0.8,0.2,F,0.1,3134,0.1,0.8,107,0.0,6.0,,0.03,107,0.427671 0.608467 0.0528625 9118,T,9118,0.246874,0.0598816,0.301711,0.427671,0.0528625,0.00339987,0.0390436,0.519467,0.34909
0.8,0.2,F,0.1,3036,0.1,0.8,108,0.0,6.0,,0.03,108,0.444382 0.620813 0.0503529 8927,T,8927,0.267951,0.0602666,0.292595,0.444382,0.0503529,0.00392069,0.0325977,0.505265,0.342668
0.8,0.2,F,0.1,2812,0.1,0.8,109,0.0,6.0,,0.03,109,0.458274 0.644762 0.043631 8400,T,8400,0.271786,0.0529762,0.32,0.458274,0.043631,0.00119048,0.0319048,0.498095,0.322143
0.8,0.2,F,0.1,2493,0.1,0.8,110,0.0,6.0,,0.03,110,0.489991 0.669004 0.0460921 7843,T,7843,0.310978,0.058906,0.29912,0.489991,0.0460921,0.00242254,0.028433,0.463917,0.30014
0.8,0.2,F,0.1,2357,0.1,0.8,111,0.0,6.0,,0.03,111,0.478386 0.664745 0.0415809 7287,T,7287,0.292027,0.0531083,0.31961,0.478386,0.0415809,0.00123508,0.0275834,0.480033,0.306436
0.8,0.2,F,0.1,2239,0.1,0.8,112,0.0,6.0,,0.03,112,0.483761 0.672276 0.044287 6774,T,6774,0.295247,0.0547682,0.322262,0.483761,0.044287,0.00354296,0.0267198,0.471952,0.297461
0.8,0.2,F,0.1,2138,0.1,0.8,113,0.0,6.0,,0.03,113,0.502427 0.680247 0.0410354 6799,T,6799,0.324607,0.0551552,0.300485,0.502427,0.0410354,0.00161788,0.02368,0.456538,0.294455
0.8,0.2,F,0.1,2023,0.1,0.8,114,0.0,6.0,,0.03,114,0.487852 0.67321 0.0420756 6215,T,6215,0.302494,0.0518101,0.318906,0.487852,0.0420756,0.00273532,0.0268705,0.470072,0.297184
0.8,0.2,F,0.1,1968,0.1,0.8,115,0.0,6.0,,0.03,115,0.498425 0.673243 0.0406996 6032,T,6032,0.323607,0.0427719,0.306863,0.498425,0.0406996,0.00314987,0.0323276,0.460875,0.29128
0.8,0.2,F,0.1,1882,0.1,0.8,116,0.0,6.0,,0.03,116,0.47828 0.674464 0.0440556 5686,T,5686,0.282096,0.0480127,0.344355,0.47828,0.0440556,0.00439676,0.031305,0.477664,0.289835
0.8,0.2,F,0.1,1803,0.1,0.8,117,0.0,6.0,,0.03,117,0.502022 0.707774 0.0496232 5441,T,5441,0.296269,0.0461312,0.365374,0.502022,0.0496232,0.00294064,0.047234,0.448355,0.242051
