original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,7,0.25,0.901186,0.27,0.758821,0.35,0.108643,0.37,0.067344,0.250167,0.354186,0.104019,,
0,8,0.25,0.93413,0.27,0.80758,0.35,0.121634,0.37,0.0685243,0.255394,0.358147,0.102753,,
0,9,0.25,0.960879,0.27,0.865926,0.35,0.143527,0.37,0.0758641,0.262823,0.362866,0.100043,,
0,10,0.25,0.97953,0.27,0.896965,0.35,0.177032,0.37,0.0997352,0.269265,0.369931,0.100666,,
0,11,0.27,0.932248,0.29,0.793319,0.37,0.123819,0.39,0.0660216,0.274642,0.378242,0.1036,,
0,12,0.27,0.958214,0.29,0.855711,0.37,0.146641,0.39,0.0906344,0.281358,0.386656,0.105298,,
0,13,0.27,0.972898,0.29,0.898724,0.39,0.102829,0.41,0.0549451,0.289656,0.391182,0.101526,,
0,14,0.29,0.930643,0.31,0.771613,0.39,0.120722,0.41,0.0646752,0.293854,0.397395,0.103541,,
0,15,0.29,0.943024,0.31,0.841998,0.39,0.135378,0.41,0.0707657,0.298517,0.400951,0.102434,,
0,16,0.29,0.973576,0.31,0.885091,0.39,0.158168,0.41,0.0830921,0.30663,0.405496,0.098866,,
0,17,0.31,0.912893,0.33,0.769231,0.41,0.117455,0.43,0.0544854,0.311795,0.415544,0.103749,,
0,18,0.31,0.949404,0.33,0.830782,0.41,0.128855,0.43,0.0697156,0.31833,0.419758,0.101428,,
0,19,0.31,0.968564,0.33,0.883519,0.41,0.148976,0.43,0.0904337,0.326124,0.426732,0.100608,,
0,20,0.33,0.914087,0.35,0.758779,0.41,0.171165,0.43,0.0967933,0.331814,0.429138,0.097324,,
0,21,0.33,0.95076,0.35,0.806897,0.43,0.121128,0.45,0.0613912,0.337057,0.437074,0.100017,,
0,22,0.33,0.963885,0.35,0.871275,0.43,0.147782,0.45,0.0780062,0.343797,0.443696,0.099899,,
0,23,0.35,0.903647,0.37,0.765506,0.45,0.101296,0.47,0.0588235,0.350528,0.45061,0.100082,,
0,24,0.35,0.93201,0.37,0.803265,0.45,0.126048,0.47,0.0648483,0.354973,0.458512,0.103539,,
0,25,0.35,0.955548,0.37,0.860228,0.45,0.160386,0.47,0.0780647,0.361655,0.464671,0.103016,,
0,26,0.37,0.907327,0.39,0.73932,0.45,0.188304,0.47,0.0962644,0.370872,0.469188,0.098316,,
0,27,0.37,0.928035,0.39,0.789021,0.47,0.126045,0.49,0.0629526,0.374033,0.478256,0.104223,,
0,28,0.37,0.955407,0.39,0.869919,0.47,0.147562,0.49,0.0762118,0.382963,0.483332,0.100369,,
0,29,0.37,0.976115,0.39,0.898709,0.47,0.186142,0.49,0.0904042,0.389666,0.487995,0.098329,,
0,30,0.39,0.925256,0.41,0.807855,0.49,0.112419,0.51,0.060925,0.394303,0.494823,0.10052,,
0,31,0.39,0.95474,0.41,0.844161,0.49,0.132046,0.51,0.0716332,0.399901,0.500609,0.100708,,
0,32,0.39,0.975392,0.41,0.892857,0.49,0.167404,0.51,0.0966835,0.408269,0.509062,0.100793,,
0,33,0.41,0.932761,0.43,0.793305,0.51,0.111212,0.53,0.0616022,0.414698,0.51452,0.099822,,
0,34,0.41,0.950808,0.43,0.838011,0.51,0.137739,0.53,0.0765714,0.419009,0.52234,0.103331,,
0,35,0.41,0.968916,0.43,0.888525,0.51,0.172113,0.53,0.094173,0.427145,0.528505,0.10136,,
0,36,0.43,0.926549,0.45,0.781566,0.53,0.117684,0.55,0.0649059,0.433662,0.536701,0.103039,,
0,37,0.43,0.932342,0.45,0.815428,0.53,0.133355,0.55,0.0761878,0.435533,0.541669,0.106136,,
0,38,0.43,0.965079,0.45,0.877642,0.53,0.159295,0.55,0.0967169,0.444886,0.548951,0.104065,,
0,39,0.45,0.91584,0.47,0.766695,0.55,0.114715,0.57,0.0609688,0.452124,0.555476,0.103352,,
0,40,0.45,0.94291,0.47,0.822339,0.55,0.134131,0.57,0.0775545,0.457118,0.562065,0.104947,,
0,41,0.45,0.965654,0.47,0.872832,0.55,0.154405,0.57,0.0886364,0.464146,0.566544,0.102398,,
0,42,0.47,0.908403,0.49,0.773608,0.57,0.102919,0.59,0.0559024,0.471247,0.571242,0.099995,,
0,43,0.47,0.941004,0.49,0.832524,0.57,0.128688,0.59,0.0804666,0.47756,0.581898,0.104338,,
0,44,0.47,0.964544,0.49,0.87515,0.57,0.159621,0.59,0.0939658,0.48444,0.588162,0.103722,,
0,45,0.49,0.902889,0.51,0.739817,0.59,0.107564,0.61,0.0590694,0.490354,0.59312,0.102766,,
0,46,0.49,0.929708,0.51,0.805498,0.59,0.131892,0.61,0.0730501,0.494784,0.60084,0.106056,,
0,47,0.49,0.950551,0.51,0.858913,0.59,0.149234,0.61,0.0838651,0.501033,0.605063,0.10403,,
0,48,0.49,0.971773,0.51,0.893957,0.61,0.102619,0.63,0.0609487,0.508447,0.611257,0.10281,,
0,49,0.51,0.944059,0.53,0.811353,0.61,0.134116,0.63,0.0694761,0.51664,0.620556,0.103916,,
0,50,0.51,0.951552,0.53,0.850531,0.61,0.167048,0.63,0.0862852,0.520206,0.626604,0.106398,,
0,51,0.51,0.969592,0.53,0.88466,0.61,0.177638,0.63,0.0974106,0.526388,0.629354,0.102966,,
