original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,0,0.21,0.90738,0.23,0.814371,0.41,0.114899,0.43,0.0783972,0.211587,0.418163,0.206576,,
0,1,0.21,0.929892,0.23,0.885176,0.41,0.127616,0.43,0.0992183,0.22337,0.429449,0.206079,,
0,2,0.23,0.918877,0.25,0.857372,0.43,0.115691,0.45,0.0952381,0.236138,0.445344,0.209206,,
0,3,0.25,0.915599,0.27,0.824252,0.47,0.106974,0.49,0.0732394,0.253415,0.474135,0.22072,,
0,4,0.25,0.938776,0.27,0.876833,0.47,0.106383,0.49,0.0899083,0.26252,0.477749,0.215229,,
0,5,0.27,0.913658,0.29,0.87801,0.49,0.102597,0.51,0.0743995,0.277663,0.491842,0.214179,,
0,6,0.27,0.952744,0.29,0.897682,0.49,0.112433,0.51,0.0886076,0.289158,0.500437,0.211279,,
0,7,0.29,0.936282,0.31,0.881748,0.51,0.106115,0.53,0.0848214,0.303306,0.515744,0.212438,,
0,8,0.31,0.93155,0.33,0.844133,0.51,0.12531,0.53,0.0895706,0.317218,0.524164,0.206946,,
0,9,0.31,0.950349,0.33,0.894488,0.53,0.112515,0.55,0.0792899,0.328027,0.537533,0.209506,,
0,10,0.33,0.943778,0.35,0.896147,0.53,0.130881,0.55,0.0729841,0.348382,0.540668,0.192286,,
0,11,0.35,0.920472,0.37,0.85974,0.55,0.113033,0.57,0.0871122,0.356742,0.560056,0.203314,,
0,12,0.37,0.916338,0.39,0.831667,0.55,0.11236,0.57,0.0915535,0.373859,0.561881,0.188022,,
0,13,0.37,0.924198,0.39,0.883068,0.57,0.119727,0.59,0.0863971,0.381767,0.581837,0.20007,,
0,14,0.39,0.919903,0.41,0.865954,0.59,0.108844,0.61,0.0806357,0.397378,0.59627,0.198892,,
0,15,0.41,0.91821,0.43,0.842062,0.61,0.102381,0.63,0.0817012,0.414783,0.612303,0.19752,,
0,16,0.41,0.911831,0.43,0.887097,0.63,0.101273,0.65,0.0700935,0.419567,0.630817,0.21125,,
0,17,0.43,0.924132,0.45,0.854344,0.63,0.105202,0.65,0.0955154,0.436916,0.640741,0.203825,,
0,18,0.43,0.952239,0.45,0.893117,0.65,0.12973,0.67,0.0730464,0.447672,0.66049,0.212818,,
0,19,0.45,0.941679,0.47,0.886978,0.65,0.125238,0.67,0.095064,0.465239,0.666728,0.201489,,
0,20,0.47,0.933278,0.49,0.838843,0.67,0.105142,0.69,0.0991453,0.477048,0.687149,0.210101,,
0,21,0.49,0.903937,0.51,0.826506,0.69,0.107399,0.71,0.0770913,0.491017,0.694883,0.203866,,
0,22,0.49,0.929525,0.51,0.873534,0.69,0.121331,0.71,0.0961761,0.500546,0.70696,0.206414,,
0,23,0.51,0.90109,0.53,0.837344,0.71,0.107101,0.73,0.0844985,0.510342,0.716283,0.205941,,
0,24,0.51,0.93662,0.53,0.896389,0.71,0.128253,0.73,0.0850457,0.528205,0.723078,0.194873,,
0,25,0.53,0.928625,0.55,0.880033,0.73,0.100962,0.75,0.093732,0.541782,0.732661,0.190879,,
0,26,0.55,0.914958,0.57,0.831926,0.75,0.112227,0.77,0.0767442,0.553603,0.756892,0.203289,,
0,27,0.55,0.937832,0.57,0.899676,0.75,0.120999,0.77,0.0855549,0.56983,0.761849,0.192019,,
0,28,0.57,0.914484,0.59,0.885668,0.77,0.115835,0.79,0.0953502,0.580053,0.78546,0.205407,,
0,29,0.59,0.914443,0.61,0.846154,0.79,0.113049,0.81,0.0806271,0.59423,0.798049,0.203819,,
