radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.01865,0.036917,0.0345551,101823,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.107172,0.203293,0.0665681,95729,34,95200,966,46866
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.110406,0.208649,0.0675714,95203,44,95225,956,46879
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.10519,0.198831,0.0675316,95770,43,95314,957,46941
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.109373,0.20674,0.0697872,94781,38,95183,962,46853
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.109816,0.208058,0.0667832,95810,42,95424,958,46994
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.10641,0.201866,0.0680863,96128,37,95164,963,46850
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.109007,0.206968,0.0686934,95242,33,95336,967,46938
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.107199,0.20315,0.0655733,95481,38,95325,962,46931
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.102989,0.194669,0.0701896,95413,39,95322,961,46945
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.110301,0.208983,0.0683786,95271,38,95282,962,46916
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.109411,0.207391,0.0706263,95708,42,95340,958,46949
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.106921,0.201988,0.0680184,94570,34,95200,966,46858
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.10534,0.200427,0.0679786,95486,43,95308,957,46942
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.106159,0.20125,0.0709775,96129,47,95169,953,46854
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.102434,0.194255,0.0671263,96013,40,95456,960,47029
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.108937,0.205791,0.0648181,95174,41,95197,959,46853
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.103102,0.196529,0.068551,96337,40,95360,960,46972
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.100479,0.190418,0.0682996,96677,39,95142,961,46818
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.103674,0.196614,0.0679091,96504,36,95294,964,46925
0.2,0.1,0.05,6.0,0.0,0.05,0.2,0.8,F,T,0,0,0,0,1,1000,0.110173,0.208601,0.0689778,95364,36,95311,964,46943
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.227357,0.404314,0.0789975,84009,26,85221,974,40453
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.221768,0.395563,0.0765183,84568,23,85067,977,40372
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.215824,0.387392,0.0772531,85660,21,85136,979,40423
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.205766,0.372124,0.0810695,86506,18,85116,982,40401
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.222086,0.3956,0.0785174,85809,20,85108,980,40392
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.219838,0.394616,0.0773784,84733,18,85148,982,40426
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.220844,0.393335,0.0780288,84315,24,85048,976,40346
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.220959,0.394601,0.077921,85869,21,85175,979,40443
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.212764,0.381628,0.0824257,86490,20,85265,980,40504
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.219338,0.390596,0.0794345,85838,25,85103,975,40373
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.219139,0.391331,0.0783557,84946,22,85081,978,40386
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.224811,0.399976,0.0741728,84620,21,85063,979,40369
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.222111,0.395834,0.0774033,85455,19,85165,981,40439
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.229339,0.407701,0.078485,84118,19,85135,981,40424
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.21825,0.389591,0.076568,85251,23,85161,977,40433
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.218542,0.390994,0.0790422,83835,23,85065,977,40355
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.222197,0.396128,0.0771522,84450,20,85288,980,40537
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.218078,0.390302,0.0770555,85380,20,85167,980,40455
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.226495,0.40305,0.0791696,84079,24,85193,976,40447
0.2,0.1,0.05,6.0,0.0,0.05,0.25,0.8,F,T,0,0,0,0,1,1000,0.221941,0.393978,0.0761393,85383,24,85089,976,40367
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.322032,0.540269,0.0790209,74474,16,73692,984,32859
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.323955,0.547377,0.0774743,74941,16,73708,984,32864
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.333904,0.560772,0.0811526,73331,16,73708,984,32860
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.332379,0.558907,0.0804149,73556,16,73744,984,32876
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.331666,0.555777,0.080315,73274,15,73901,985,33001
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.324959,0.54761,0.0805653,74511,28,73592,972,32724
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.331465,0.556306,0.0799307,74477,16,73807,984,32932
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.3199,0.540723,0.0811172,74528,17,74036,983,33072
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.329122,0.554891,0.0780545,74038,16,73840,984,32950
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.325004,0.546931,0.0807722,73373,17,73794,983,32922
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.323284,0.544614,0.0788986,73867,17,73730,983,32866
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.33109,0.554403,0.0794168,73939,19,73727,981,32859
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.335722,0.561698,0.0750047,73762,15,73791,985,32926
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.316485,0.53538,0.0834421,74321,15,73924,985,33023
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.337973,0.566477,0.0798315,71701,16,73648,984,32818
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.328972,0.552989,0.0807224,73251,16,73755,984,32905
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.326495,0.549075,0.0814479,73194,16,73794,984,32919
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.318731,0.539872,0.080126,74464,23,73726,977,32830
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.332995,0.558276,0.0774685,74327,15,73722,985,32887
0.2,0.1,0.05,6.0,0.0,0.05,0.3,0.8,F,T,0,0,0,0,1,1000,0.336411,0.563057,0.079739,73703,20,73819,980,32909
0.2,0.1,0.05,6.0,0.0,0.05,0.35,0.8,F,T,0,0,0,0,1,1000,0.43717,0.689332,0.0752146,61165,17,62091,983,25365
0.2,0.1,0.05,6.0,0.0,0.05,0.35,0.8,F,T,0,0,0,0,1,1000,0.434715,0.686078,0.0785533,61837,14,62262,986,25507
0.2,0.1,0.05,6.0,0.0,0.05,0.35,0.8,F,T,0,0,0,0,1,1000,0.434263,0.686168,0.0728555,61670,19,62185,981,25406
