radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.471394,0.704945,0.222722,2447,621,15,8488,985,1949
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,589,0,0,0,0,0,16,9932,573,2393
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,130,0,1,0,0,0,12,8902,119,2039
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.429595,0.654357,0.213616,13323,3898,12,9305,988,2224
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.637729,0.871848,0.203528,7257,1082,12,10332,988,2485
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,335,0,0,0,0,0,12,8986,323,1992
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,400,0,1,0,0,0,13,7198,388,1456
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,0,0,1,1000,0.507772,0.738814,0.21269,16919,4054,13,8389,987,1992
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,F,T,0,0,1,0,0,172,0,0,0,0,0,16,9456,156,2156
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,143,0,0,0,0,0,13,8448,130,1923
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,530,0,0,0,0,0,14,9412,516,2170
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,322,0,0,0,0,0,13,9022,309,2000
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.721256,0.922222,0.176087,2070,202,14,10524,986,2445
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,959,0,0,0,0,0,14,9952,945,2371
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,1,0,0,94,0,0,0,0,0,13,8505,81,1837
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,F,T,0,0,0,0,1,1000,0.530256,0.769231,0.247933,7982,1581,15,8780,985,1941
