radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,156,0,0,0,0,28,22893,128,5894
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,169,0,0,0,0,23,13311,146,2767
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,31,0,0,0,0,0,0,0,0
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,88,0,0,0,0,23,24289,65,6479
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,34,0,0,0,0,0,0,0,0
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,470,0,1,0,0,23,15696,448,3630
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,52,0,0,0,0,15,8336,37,1327
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,30,0,0,0,0,0,0,0,0
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,44,0,0,0,0,26,450,18,45
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,382,0,0,0,0,22,18753,360,4677
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,574,0,0,0,0,16,17507,558,4389
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,165,0,0,0,0,23,18730,142,5116
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,325,0,0,0,0,26,13187,299,2673
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,90,0,1,0,0,28,15701,63,3733
0.2,0.3,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,194,0,0,0,0,20,12612,174,2598
