radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,195,0,0,0,102168,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,208,0,0,0,102543,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,182,0,0,0,102810,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,301,0,0,0,101953,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,331,0,0,0,102918,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,223,0,0,0,102899,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,211,0,0,0,103718,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,245,0,0,0,103390,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,221,0,0,0,103243,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,267,0,0,0,103026,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,147,0,0,0,102843,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,185,0,0,0,103003,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,165,0,0,0,102762,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,163,0,0,0,103270,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,200,0,0,0,102343,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,285,0,0,0,102992,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,169,0,0,0,102760,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,305,0,0,0,103612,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,248,0,0,0,103342,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,173,0,0,0,102873,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,266,0,0,0,103278,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,292,0,0,0,102958,0,0,0,0
0.2,0.2,0.01,4,1,0,1,0,0,1,0,0,0,232,0,0,0,102057,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,138,0,0,0,103252,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,221,0,0,0,102679,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,304,0,0,0,102788,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,225,0,0,0,102737,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,224,0,0,0,103616,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,289,0,0,0,102253,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,173,0,0,0,102832,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,181,0,0,0,103065,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,250,0,0,0,103256,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,162,0,0,0,103248,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,295,0,0,0,103209,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,178,0,0,0,103085,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,236,0,0,0,103408,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,237,0,0,0,103360,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,196,0,0,0,102896,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,210,0,0,0,104624,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,208,0,0,0,103851,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,234,0,0,0,102968,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,182,0,0,0,103029,0,0,0,0
0.2,0.2,0.01,4.5,1,0,1,0,0,1,0,0,0,197,0,0,0,103499,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,244,0,0,0,103550,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,358,0,0,0,103110,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,199,0,0,0,102503,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,165,0,0,0,103032,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,144,0,0,0,102763,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,193,0,0,0,102812,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,164,0,0,0,102927,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,213,0,0,0,103275,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,226,0,0,0,103459,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,290,0,0,0,102767,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,267,0,0,0,103343,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,241,0,0,0,103892,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,423,0,0,0,102404,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,163,0,0,0,102958,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,238,0,0,0,102271,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,300,0,0,0,102919,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,443,0,0,0,103165,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,217,0,0,0,103175,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,190,0,0,0,103227,0,0,0,0
0.2,0.2,0.01,5,1,0,1,0,0,1,0,0,0,211,0,0,0,103469,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,197,0,0,0,102931,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,196,0,0,0,103701,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,197,0,0,0,103000,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,376,0,0,0,103551,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,282,0,0,0,103023,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,169,0,0,0,103950,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,269,0,0,0,104064,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,253,0,0,0,103872,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,254,0,0,0,103586,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,289,0,0,0,103832,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,279,0,0,0,103383,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,352,0,0,0,102805,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,152,0,0,0,103613,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,288,0,0,0,103077,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,236,0,0,0,102845,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,224,0,0,0,103521,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,328,0,0,0,102789,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,268,0,0,0,103965,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,184,0,0,0,102334,0,0,0,0
0.2,0.2,0.01,5.5,1,0,1,0,0,1,0,0,0,207,0,0,0,103956,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,259,0,0,0,102603,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,284,0,0,0,104040,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,240,0,0,0,103096,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,235,0,0,0,104209,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,204,0,0,0,103672,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,314,0,0,0,102754,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,226,0,0,0,102533,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,144,0,0,0,103855,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,187,0,0,0,103027,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,213,0,0,0,102958,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,193,0,0,0,103020,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,165,0,0,0,103378,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,341,0,0,0,103309,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,222,0,0,0,103385,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,393,0,0,0,103738,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,186,0,0,0,103324,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,298,0,0,0,104387,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,203,0,0,0,103373,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,234,0,0,0,104225,0,0,0,0
0.2,0.2,0.01,6,1,0,1,0,0,1,0,0,0,192,0,0,0,103707,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,419,0,0,0,103186,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,313,0,0,0,103372,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,407,0,0,0,103311,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,502,0,0,0,103064,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,331,0,0,0,102646,0,0,0,0
0.2,0.2,0.01,6.5,1,0,1,0,0,1,0,0,0,245,0,0,0,103933,0,0,0,0
